params,lexical_ac,mrr,ndcg,context_similarity,answer_precision,answer_f1,avg_similarity,total_time,timed_out,total_tokens
"{'Database_type': 1, 'CHUNK_SIZE': 576, 'CHUNK_OVERLAP': 81, 'RETRIEVER_K': 6, 'embedding_temperature': 0.14877272576532974, 'embedding_num_ctx': 819, 'embedding_repeat_penalty': 1.096283433486684, 'embedding_top_k': 76, 'chat_temperature': 0.6660902130980257, 'chat_num_ctx': 7511, 'chat_repeat_penalty': 1.2672792883024238, 'chat_top_k': 60}",0.2829862793227614,0.7250000000000001,0.7829813418357172,0.8535573299616941,0.21812736712968359,0.2829862793227614,0,213.81705498695374,False,0
"{'Database_type': 2, 'CHUNK_SIZE': 705, 'CHUNK_OVERLAP': 66, 'RETRIEVER_K': 3, 'embedding_temperature': 0.9547415365774082, 'embedding_num_ctx': 644, 'embedding_repeat_penalty': 1.0326173975306228, 'embedding_top_k': 86, 'chat_temperature': 0.3160964710182087, 'chat_num_ctx': 3247, 'chat_repeat_penalty': 1.1495212637330205, 'chat_top_k': 70}",0.32482006801259317,0.7533333333333333,0.7712556227380825,0.8514096008604735,0.24505633890492015,0.32482006801259317,0,166.4698235988617,False,0
"{'Database_type': 1, 'CHUNK_SIZE': 329, 'CHUNK_OVERLAP': 66, 'RETRIEVER_K': 1, 'embedding_temperature': 0.3853769143951381, 'embedding_num_ctx': 1912, 'embedding_repeat_penalty': 1.2330388804335521, 'embedding_top_k': 17, 'chat_temperature': 0.6697246517218077, 'chat_num_ctx': 6959, 'chat_repeat_penalty': 1.038143580691957, 'chat_top_k': 42}",0.3342047684993403,0.91,0.91,0.958851661214768,0.2860566525355177,0.3342047684993403,0,167.02539610862732,False,0
"{'Database_type': 3, 'CHUNK_SIZE': 425, 'CHUNK_OVERLAP': 57, 'RETRIEVER_K': 1, 'embedding_temperature': 0.44482138362226153, 'embedding_num_ctx': 922, 'embedding_repeat_penalty': 1.2818242065429135, 'embedding_top_k': 31, 'chat_temperature': 0.3966942422737386, 'chat_num_ctx': 4379, 'chat_repeat_penalty': 1.446091845468094, 'chat_top_k': 71}",0.25035945121016134,0.48,0.48,0.7809833773567262,0.2022543616365045,0.25035945121016134,0,167.15415024757385,False,0
"{'Database_type': 3, 'CHUNK_SIZE': 686, 'CHUNK_OVERLAP': 84, 'RETRIEVER_K': 3, 'embedding_temperature': 0.8650171206071817, 'embedding_num_ctx': 1304, 'embedding_repeat_penalty': 1.45318526599806, 'embedding_top_k': 54, 'chat_temperature': 0.13482172941335557, 'chat_num_ctx': 3413, 'chat_repeat_penalty': 1.1426431458452446, 'chat_top_k': 95}",0.31308290446673115,0.5400000000000001,0.5902104867422097,0.7699625300955482,0.23543932054797637,0.31308290446673115,0,176.5882716178894,False,0
"{'Database_type': 1, 'CHUNK_SIZE': 723, 'CHUNK_OVERLAP': 117, 'RETRIEVER_K': 2, 'embedding_temperature': 0.37273698096713415, 'embedding_num_ctx': 784, 'embedding_repeat_penalty': 1.1395181315424447, 'embedding_top_k': 73, 'chat_temperature': 0.4365394987517267, 'chat_num_ctx': 7068, 'chat_repeat_penalty': 1.2657359227554275, 'chat_top_k': 91}",0.2976559068458395,0.62,0.6461859507142915,0.8074674896270401,0.22389037553486552,0.2976559068458395,0,155.8111457824707,False,0
"{'Database_type': 2, 'CHUNK_SIZE': 261, 'CHUNK_OVERLAP': 45, 'RETRIEVER_K': 9, 'embedding_temperature': 0.7957388648160442, 'embedding_num_ctx': 1198, 'embedding_repeat_penalty': 1.0797700654842148, 'embedding_top_k': 53, 'chat_temperature': 0.4039566669804695, 'chat_num_ctx': 5332, 'chat_repeat_penalty': 1.4764295082244188, 'chat_top_k': 38}",0.3008618369518528,0.9483333333333333,0.9541163754902193,0.9399761236794444,0.23509812653696596,0.3008618369518528,0,209.33277440071106,False,0
"{'Database_type': 1, 'CHUNK_SIZE': 859, 'CHUNK_OVERLAP': 50, 'RETRIEVER_K': 10, 'embedding_temperature': 0.7201466478542229, 'embedding_num_ctx': 1960, 'embedding_repeat_penalty': 1.458013715309245, 'embedding_top_k': 82, 'chat_temperature': 0.7552987225602539, 'chat_num_ctx': 4460, 'chat_repeat_penalty': 1.4398041716204477, 'chat_top_k': 38}",0.21783087487168273,0.4282738095238096,0.6384888676576613,0.801078678122152,0.17232323874743424,0.21783087487168273,0,205.26465678215027,False,0
"{'Database_type': 2, 'CHUNK_SIZE': 874, 'CHUNK_OVERLAP': 56, 'RETRIEVER_K': 7, 'embedding_temperature': 0.4244247153304386, 'embedding_num_ctx': 1066, 'embedding_repeat_penalty': 1.460263652270898, 'embedding_top_k': 91, 'chat_temperature': 0.06372056831731454, 'chat_num_ctx': 2458, 'chat_repeat_penalty': 1.2837017879117278, 'chat_top_k': 43}",0.336276322234053,0.9483333333333333,0.9571888635126413,0.9466542164676051,0.2581498515870502,0.336276322234053,0,175.40563988685608,False,0
"{'Database_type': 3, 'CHUNK_SIZE': 916, 'CHUNK_OVERLAP': 85, 'RETRIEVER_K': 6, 'embedding_temperature': 0.9543194831960383, 'embedding_num_ctx': 812, 'embedding_repeat_penalty': 1.196639493560843, 'embedding_top_k': 43, 'chat_temperature': 0.8858994955478734, 'chat_num_ctx': 6295, 'chat_repeat_penalty': 1.0688324799089701, 'chat_top_k': 13}",0.30412470757864496,0.5506666666666669,0.6574942556930807,0.7971439170520697,0.23796381472360234,0.30412470757864496,0,207.16412997245789,False,0
