params,lexical_ac,mrr,ndcg,context_similarity,answer_precision,answer_f1,avg_similarity,total_time,timed_out,total_tokens
"{'CHUNK_SIZE': 462.0, 'CHUNK_OVERLAP': 38.0, 'RETRIEVER_K': 7.0, 'embedding_temperature': 0.4131270945072174, 'embedding_num_ctx': 1139.0, 'embedding_repeat_penalty': 0.9353285431861877, 'embedding_top_k': 14.0, 'chat_temperature': 0.5124004483222961, 'chat_num_ctx': 7476.0, 'chat_repeat_penalty': 0.9738271236419678, 'chat_top_k': 32.0, 'Database_type': 1.0}",0.3033039276006014,0.6736904761904762,0.7334537894591666,0.7987263182832427,0.2456234327496287,0.3033039276006014,0,177.29749059677124,False,0
"{'CHUNK_SIZE': 937.0, 'CHUNK_OVERLAP': 121.0, 'RETRIEVER_K': 3.0, 'embedding_temperature': 0.7477468252182007, 'embedding_num_ctx': 1806.0, 'embedding_repeat_penalty': 1.477290153503418, 'embedding_top_k': 60.0, 'chat_temperature': 0.4234766364097595, 'chat_num_ctx': 3441.0, 'chat_repeat_penalty': 1.3987338542938232, 'chat_top_k': 92.0, 'Database_type': 2.0}",0.31980411962721506,0.96,0.9638685280723454,0.9763984654330892,0.25280310753734503,0.31980411962721506,0,121.36748194694519,False,0
"{'CHUNK_SIZE': 646.0, 'CHUNK_OVERLAP': 61.0, 'RETRIEVER_K': 10.0, 'embedding_temperature': 0.07844358682632446, 'embedding_num_ctx': 1592.0, 'embedding_repeat_penalty': 1.2719614505767822, 'embedding_top_k': 51.0, 'chat_temperature': 0.09442410618066788, 'chat_num_ctx': 934.0, 'chat_repeat_penalty': 1.32013738155365, 'chat_top_k': 65.0, 'Database_type': 3.0}",0.26448853946546114,0.6543571428571429,0.7322283009325673,0.7951579806222299,0.21830589803646983,0.26448853946546114,0,119.6548981666565,False,0
"{'CHUNK_SIZE': 365.0, 'CHUNK_OVERLAP': 98.0, 'RETRIEVER_K': 2.0, 'embedding_temperature': 0.7606510519981384, 'embedding_num_ctx': 589.0, 'embedding_repeat_penalty': 1.1435458660125732, 'embedding_top_k': 96.0, 'chat_temperature': 0.966437816619873, 'chat_num_ctx': 4582.0, 'chat_repeat_penalty': 1.1835100650787354, 'chat_top_k': 37.0, 'Database_type': 2.0}",0.3458926976752371,0.96,0.962618595071429,0.9763749761016376,0.27523640622456835,0.3458926976752371,0,149.70213222503662,False,0
"{'CHUNK_SIZE': 291.0, 'CHUNK_OVERLAP': 69.0, 'RETRIEVER_K': 5.0, 'embedding_temperature': 0.9425311088562012, 'embedding_num_ctx': 806.0, 'embedding_repeat_penalty': 1.0425100326538086, 'embedding_top_k': 42.0, 'chat_temperature': 0.15840069949626923, 'chat_num_ctx': 2424.0, 'chat_repeat_penalty': 1.4966285228729248, 'chat_top_k': 75.0, 'Database_type': 2.0}",0.3084668050419713,0.9670000000000001,0.9755952855879879,0.9753226278375042,0.24709080844151024,0.3084668050419713,0,154.8933413028717,False,0
"{'CHUNK_SIZE': 453.0, 'CHUNK_OVERLAP': 64.0, 'RETRIEVER_K': 10.0, 'embedding_temperature': 0.21992250763004212, 'embedding_num_ctx': 1172.0, 'embedding_repeat_penalty': 0.9121097006989757, 'embedding_top_k': 11.0, 'chat_temperature': 0.10970280437318505, 'chat_num_ctx': 3442.0, 'chat_repeat_penalty': 1.0213496359941536, 'chat_top_k': 17.0, 'Database_type': 2.0}",0.3876481290598822,0.9670000000000001,0.9784516495385421,0.9739810276680094,0.3308016119660628,0.3876481290598822,0,169.2048282623291,False,0
"{'CHUNK_SIZE': 403.0, 'CHUNK_OVERLAP': 50.0, 'RETRIEVER_K': 2.0, 'embedding_temperature': 0.30082207759266644, 'embedding_num_ctx': 1565.0, 'embedding_repeat_penalty': 1.2147882878120524, 'embedding_top_k': 73.0, 'chat_temperature': 0.2541303483117501, 'chat_num_ctx': 3954.0, 'chat_repeat_penalty': 1.0743681676266599, 'chat_top_k': 33.0, 'Database_type': 2.0}",0.36255748409022537,0.96,0.962618595071429,0.9756284808203105,0.29906561361667544,0.36255748409022537,0,137.54661965370178,False,0
"{'CHUNK_SIZE': 390.0, 'CHUNK_OVERLAP': 71.0, 'RETRIEVER_K': 9.0, 'embedding_temperature': 0.8328081565351975, 'embedding_num_ctx': 817.0, 'embedding_repeat_penalty': 1.3745112690858206, 'embedding_top_k': 60.0, 'chat_temperature': 0.6288698595798494, 'chat_num_ctx': 1370.0, 'chat_repeat_penalty': 1.4317723598669374, 'chat_top_k': 38.0, 'Database_type': 2.0}",0.2842788694615677,0.9670000000000001,0.9783546177580392,0.9739768752043448,0.24672885765213137,0.2842788694615677,0,137.9954698085785,False,0
"{'CHUNK_SIZE': 380.0, 'CHUNK_OVERLAP': 120.0, 'RETRIEVER_K': 1.0, 'embedding_temperature': 0.23767128004986288, 'embedding_num_ctx': 862.0, 'embedding_repeat_penalty': 1.2987639516234089, 'embedding_top_k': 19.0, 'chat_temperature': 0.6122063544071503, 'chat_num_ctx': 5806.0, 'chat_repeat_penalty': 1.0348542919692807, 'chat_top_k': 49.0, 'Database_type': 3.0}",0.28669321950988486,0.79,0.79,0.9092950791605959,0.2310105319150221,0.28669321950988486,0,139.8475170135498,False,0
"{'CHUNK_SIZE': 453.0, 'CHUNK_OVERLAP': 64.0, 'RETRIEVER_K': 10.0, 'embedding_temperature': 0.2199225127696991, 'embedding_num_ctx': 1171.0, 'embedding_repeat_penalty': 0.9121096730232239, 'embedding_top_k': 29.0, 'chat_temperature': 0.11227311859204364, 'chat_num_ctx': 3442.0, 'chat_repeat_penalty': 1.0213496685028076, 'chat_top_k': 17.0, 'Database_type': 2.0}",0.3854182622306763,0.9670000000000001,0.9784969334028326,0.9740036043042977,0.32908947859750215,0.3854182622306763,0,169.45815134048462,False,0
"{'CHUNK_SIZE': 577.0, 'CHUNK_OVERLAP': 115.0, 'RETRIEVER_K': 8.0, 'embedding_temperature': 0.42270073445609246, 'embedding_num_ctx': 1598.0, 'embedding_repeat_penalty': 1.3850473390887414, 'embedding_top_k': 55.0, 'chat_temperature': 0.5489833968983027, 'chat_num_ctx': 2503.0, 'chat_repeat_penalty': 1.252726596857428, 'chat_top_k': 21.0, 'Database_type': 1.0}",0.2664447279847354,0.703011904761905,0.7558100672434027,0.8150274226007768,0.2038676963046758,0.2664447279847354,0,156.62837505340576,False,0
"{'CHUNK_SIZE': 453.0, 'CHUNK_OVERLAP': 63.0, 'RETRIEVER_K': 10.0, 'embedding_temperature': 0.053476475367796095, 'embedding_num_ctx': 1185.0, 'embedding_repeat_penalty': 0.908748036220709, 'embedding_top_k': 13.0, 'chat_temperature': 0.10969796370264497, 'chat_num_ctx': 2425.0, 'chat_repeat_penalty': 1.0106075363496223, 'chat_top_k': 26.0, 'Database_type': 2.0}",0.3766579671273331,0.9670000000000001,0.9784969334028326,0.9740036043042977,0.3210979909966426,0.3766579671273331,0,155.88480281829834,False,0
"{'CHUNK_SIZE': 419.0, 'CHUNK_OVERLAP': 71.0, 'RETRIEVER_K': 4.0, 'embedding_temperature': 0.40231686107115716, 'embedding_num_ctx': 1395.0, 'embedding_repeat_penalty': 1.0342343479374045, 'embedding_top_k': 13.0, 'chat_temperature': 0.15275770736608313, 'chat_num_ctx': 3256.0, 'chat_repeat_penalty': 1.0248462269029428, 'chat_top_k': 15.0, 'Database_type': 2.0}",0.3820970891743481,0.965,0.9720050377612622,0.976686372934851,0.30838185676593566,0.3820970891743481,0,149.57771229743958,False,0
"{'CHUNK_SIZE': 453.0, 'CHUNK_OVERLAP': 60.0, 'RETRIEVER_K': 9.0, 'embedding_temperature': 0.25190988994292185, 'embedding_num_ctx': 1172.0, 'embedding_repeat_penalty': 0.9014408101846981, 'embedding_top_k': 14.0, 'chat_temperature': 0.11265491935408878, 'chat_num_ctx': 3474.0, 'chat_repeat_penalty': 1.0239365731570562, 'chat_top_k': 17.0, 'Database_type': 2.0}",0.38324032770666316,0.9670000000000001,0.9783546177580392,0.9739768752043448,0.31877315872064993,0.38324032770666316,0,172.05851650238037,False,0
"{'CHUNK_SIZE': 421.0, 'CHUNK_OVERLAP': 72.0, 'RETRIEVER_K': 10.0, 'embedding_temperature': 0.21082706623437494, 'embedding_num_ctx': 1309.0, 'embedding_repeat_penalty': 0.9202079402158064, 'embedding_top_k': 20.0, 'chat_temperature': 0.14629546407705682, 'chat_num_ctx': 3540.0, 'chat_repeat_penalty': 1.0223361210684316, 'chat_top_k': 20.0, 'Database_type': 2.0}",0.3872496736047936,0.9670000000000001,0.9784969334028326,0.9740036043042977,0.32618170036070354,0.3872496736047936,0,175.14464378356934,False,0
"{'CHUNK_SIZE': 445.0, 'CHUNK_OVERLAP': 68.0, 'RETRIEVER_K': 10.0, 'embedding_temperature': 0.2199225127696991, 'embedding_num_ctx': 1172.0, 'embedding_repeat_penalty': 0.9283396323036147, 'embedding_top_k': 11.0, 'chat_temperature': 0.1170234708708006, 'chat_num_ctx': 3159.0, 'chat_repeat_penalty': 1.0275587861458029, 'chat_top_k': 17.0, 'Database_type': 2.0}",0.38018570786750905,0.9670000000000001,0.9784969334028326,0.9740036043042977,0.3171724669128195,0.38018570786750905,0,166.90830945968628,False,0
"{'CHUNK_SIZE': 780.0, 'CHUNK_OVERLAP': 63.0, 'RETRIEVER_K': 6.0, 'embedding_temperature': 0.12716390505677075, 'embedding_num_ctx': 1002.0, 'embedding_repeat_penalty': 0.9601110586856411, 'embedding_top_k': 11.0, 'chat_temperature': 0.25889023926445487, 'chat_num_ctx': 5674.0, 'chat_repeat_penalty': 0.9655814304692114, 'chat_top_k': 57.0, 'Database_type': 2.0}",0.35915915988059477,0.9670000000000001,0.9756337327678959,0.9750392014732868,0.3103737078811136,0.35915915988059477,0,141.82624793052673,False,0
"{'CHUNK_SIZE': 461.0, 'CHUNK_OVERLAP': 63.0, 'RETRIEVER_K': 10.0, 'embedding_temperature': 0.16596330939844162, 'embedding_num_ctx': 1214.0, 'embedding_repeat_penalty': 0.9091667607792137, 'embedding_top_k': 26.0, 'chat_temperature': 0.11126504125196442, 'chat_num_ctx': 3744.0, 'chat_repeat_penalty': 1.0213496685028076, 'chat_top_k': 26.0, 'Database_type': 2.0}",0.3856201730893411,0.9670000000000001,0.9784969334028326,0.9740036043042977,0.31411020887088215,0.3856201730893411,0,174.53385639190674,False,0
"{'CHUNK_SIZE': 468.0, 'CHUNK_OVERLAP': 65.0, 'RETRIEVER_K': 9.0, 'embedding_temperature': 0.24839014895400754, 'embedding_num_ctx': 1319.0, 'embedding_repeat_penalty': 1.0363591599332516, 'embedding_top_k': 27.0, 'chat_temperature': 0.18305052177335093, 'chat_num_ctx': 3340.0, 'chat_repeat_penalty': 1.0054896042972554, 'chat_top_k': 21.0, 'Database_type': 2.0}",0.3834927921994349,0.9670000000000001,0.9783546177580392,0.9739768752043448,0.3208412288924659,0.3834927921994349,0,168.03432774543762,False,0
"{'CHUNK_SIZE': 458.0, 'CHUNK_OVERLAP': 64.0, 'RETRIEVER_K': 10.0, 'embedding_temperature': 0.2199225127696991, 'embedding_num_ctx': 1324.0, 'embedding_repeat_penalty': 0.9250542522882684, 'embedding_top_k': 22.0, 'chat_temperature': 0.116948527682872, 'chat_num_ctx': 3440.0, 'chat_repeat_penalty': 1.011358968252563, 'chat_top_k': 17.0, 'Database_type': 2.0}",0.3821040118585241,0.9670000000000001,0.9784969334028326,0.9740036043042977,0.32328401007580804,0.3821040118585241,0,169.80184483528137,False,0
"{'CHUNK_SIZE': 403.0, 'CHUNK_OVERLAP': 63.0, 'RETRIEVER_K': 10.0, 'embedding_temperature': 0.2282155013269768, 'embedding_num_ctx': 1161.0, 'embedding_repeat_penalty': 0.9125845779495688, 'embedding_top_k': 24.0, 'chat_temperature': 0.10970280319452286, 'chat_num_ctx': 3823.0, 'chat_repeat_penalty': 1.014142459248657, 'chat_top_k': 24.0, 'Database_type': 2.0}",0.374684264190076,0.9670000000000001,0.9787027229210377,0.9741660663872098,0.30778736751997754,0.374684264190076,0,183.1260859966278,False,0
"{'CHUNK_SIZE': 453.0, 'CHUNK_OVERLAP': 67.0, 'RETRIEVER_K': 10.0, 'embedding_temperature': 0.359135590209496, 'embedding_num_ctx': 1192.0, 'embedding_repeat_penalty': 0.973531659575019, 'embedding_top_k': 12.0, 'chat_temperature': 0.19088356532297834, 'chat_num_ctx': 3558.0, 'chat_repeat_penalty': 1.0248783795943346, 'chat_top_k': 20.0, 'Database_type': 2.0}",0.3726176249814378,0.9670000000000001,0.9787027229210377,0.9741660663872098,0.30944026970644667,0.3726176249814378,0,172.88329601287842,False,0
"{'CHUNK_SIZE': 453.0, 'CHUNK_OVERLAP': 64.0, 'RETRIEVER_K': 10.0, 'embedding_temperature': 0.2199225127696991, 'embedding_num_ctx': 1141.0, 'embedding_repeat_penalty': 0.9093314987500608, 'embedding_top_k': 11.0, 'chat_temperature': 0.10998985104889336, 'chat_num_ctx': 3442.0, 'chat_repeat_penalty': 1.020686624103817, 'chat_top_k': 17.0, 'Database_type': 2.0}",0.3869781179043487,0.9670000000000001,0.9787027229210377,0.9741660663872098,0.33081883196823847,0.3869781179043487,0,168.05531811714172,False,0
