params,mrr,ndcg,context_similarity,total_time,total_tokens,timed_out,stage,global_iteration,timestamp,lexical_ac,answer_precision,answer_f1,avg_similarity
"CHUNK_SIZE                   580.000000
CHUNK_OVERLAP                112.000000
embedding_temperature          0.609736
embedding_num_ctx           1994.000000
embedding_repeat_penalty       1.299717
embedding_top_k               83.000000
Database_type                  2.000000
Name: 0, dtype: float64",0.9520833333333333,0.9521323239206765,0.9380572654032143,101.86431622505188,3114,False,1,1,101.91821432113647,,,,
"CHUNK_SIZE                  743.000000
CHUNK_OVERLAP                41.000000
embedding_temperature         0.172089
embedding_num_ctx           694.000000
embedding_repeat_penalty      1.117100
embedding_top_k              52.000000
Database_type                 2.000000
Name: 0, dtype: float64",0.9520833333333333,0.9520589598207212,0.9379419504425844,75.2698380947113,3114,False,1,2,177.24157547950745,,,,
"{'RETRIEVER_K': 5.0, 'chat_temperature': 0.8337422013282776, 'chat_num_ctx': 5195.0, 'chat_repeat_penalty': 1.4789583683013916, 'chat_top_k': 70.0}",,,0.9485517113121981,92.35649490356445,235663,False,2,3,269.6974811553955,0.2648140400974768,0.2096082755572995,0.2648140400974768,0.0
"{'RETRIEVER_K': 10.0, 'chat_temperature': 0.1487947404384613, 'chat_num_ctx': 1954.0, 'chat_repeat_penalty': 0.9312440156936646, 'chat_top_k': 52.0}",,,0.9379419504425844,329.8066999912262,485183,False,2,4,599.6048314571381,0.3035444197291217,0.2434012008750451,0.3035444197291217,0.0
"{'RETRIEVER_K': 7.0, 'chat_temperature': 0.6202930808067322, 'chat_num_ctx': 6712.0, 'chat_repeat_penalty': 1.2942121028900146, 'chat_top_k': 20.0}",,,0.9416862466172259,110.29893565177917,321127,False,2,5,710.0048956871033,0.3138212357146211,0.23284279553822793,0.3138212357146211,0.0
"{'RETRIEVER_K': 3.0, 'chat_temperature': 0.4284180700778961, 'chat_num_ctx': 3472.0, 'chat_repeat_penalty': 1.0930981636047363, 'chat_top_k': 80.0}",,,0.9538659496319697,79.20401406288147,153565,False,2,6,789.3084659576416,0.3392285264249474,0.26615424427421286,0.3392285264249474,0.0
"{'RETRIEVER_K': 2.0, 'chat_temperature': 0.6801093220710754, 'chat_num_ctx': 1079.0, 'chat_repeat_penalty': 1.1447457075119019, 'chat_top_k': 89.0}",,,0.9573557169855555,75.94602990150452,112052,False,2,7,865.3534505367279,0.32534506009933245,0.2511290725158888,0.32534506009933245,0.0
"CHUNK_SIZE                   947.000000
CHUNK_OVERLAP                102.000000
embedding_temperature          0.839603
embedding_num_ctx           1351.000000
embedding_repeat_penalty       1.011141
embedding_top_k               29.000000
Database_type                  1.000000
Name: 0, dtype: float64",0.6292182539682541,0.6861781693905786,0.785886141468759,89.1920907497406,3114,False,1,8,954.597855091095,,,,
"CHUNK_SIZE                   400.000000
CHUNK_OVERLAP                 76.000000
embedding_temperature          0.402001
embedding_num_ctx           1104.000000
embedding_repeat_penalty       1.409192
embedding_top_k               61.000000
Database_type                  3.000000
Name: 0, dtype: float64",0.8753333333333333,0.8763299102884747,0.8415152044164637,131.3521637916565,3114,False,1,9,1086.0016651153564,,,,
"CHUNK_SIZE                  315.000000
CHUNK_OVERLAP                89.000000
embedding_temperature         0.030787
embedding_num_ctx           960.000000
embedding_repeat_penalty      1.440642
embedding_top_k             100.000000
Database_type                 1.000000
Name: 0, dtype: float64",0.9666666666666667,0.9547805005623755,0.9376708610858795,123.51346755027771,3114,False,1,10,1209.567949771881,,,,
"{'RETRIEVER_K': 3.0, 'chat_temperature': 0.4284180700778961, 'chat_num_ctx': 3472.0, 'chat_repeat_penalty': 1.0930981636047363, 'chat_top_k': 80.0}",,,0.9570497900248978,79.18428897857666,148155,False,2,11,1288.8573253154755,0.36006332089503296,0.28627346681592125,0.36006332089503296,0.0
"{'RETRIEVER_K': 2.0, 'chat_temperature': 0.6801093220710754, 'chat_num_ctx': 1079.0, 'chat_repeat_penalty': 1.1447457075119019, 'chat_top_k': 89.0}",,,0.9567218057346145,76.79863405227661,108713,False,2,12,1365.7551186084747,0.3478317517562868,0.2700999119680919,0.3478317517562868,0.0
"{'RETRIEVER_K': 7.0, 'chat_temperature': 0.1847129613161087, 'chat_num_ctx': 1592.0, 'chat_repeat_penalty': 0.9808535523953199, 'chat_top_k': 52.0}",,,0.9430830593192957,83.23599648475647,305972,False,2,13,1450.0052409172058,0.30878639764433036,0.24888402463736348,0.30878639764433036,0.0
"{'RETRIEVER_K': 3.0, 'chat_temperature': 0.40508764218833276, 'chat_num_ctx': 3421.0, 'chat_repeat_penalty': 1.05766559625078, 'chat_top_k': 82.0}",,,0.9570497900248978,78.41195249557495,147957,False,2,14,1528.518410205841,0.36826274181159846,0.2997015168142938,0.36826274181159846,0.0
