params,lexical_ac,mrr,ndcg,context_similarity,answer_precision,answer_f1,avg_similarity,total_time,timed_out,total_tokens
"{'CHUNK_SIZE': 729.0, 'CHUNK_OVERLAP': 74.0, 'RETRIEVER_K': 10.0, 'embedding_temperature': 0.30862194299697876, 'embedding_num_ctx': 872.0, 'embedding_repeat_penalty': 1.012344479560852, 'embedding_top_k': 85.0, 'chat_temperature': 0.12805862724781036, 'chat_num_ctx': 7551.0, 'chat_repeat_penalty': 1.0910017490386963, 'chat_top_k': 16.0, 'Database_type': 2.0}",0.292076431916615,0.9716666666666667,0.9784821662975004,0.9615988955415762,0.2025867238162787,0.292076431916615,0,317.5913755893707,False,0
"{'CHUNK_SIZE': 462.0, 'CHUNK_OVERLAP': 110.0, 'RETRIEVER_K': 2.0, 'embedding_temperature': 0.9857127666473389, 'embedding_num_ctx': 1757.0, 'embedding_repeat_penalty': 1.4777039289474487, 'embedding_top_k': 42.0, 'chat_temperature': 0.5064504146575928, 'chat_num_ctx': 2321.0, 'chat_repeat_penalty': 1.4193274974822998, 'chat_top_k': 80.0, 'Database_type': 2.0}",0.2853178392226696,0.965,0.9689278926071435,0.9691951636151984,0.19556845289345684,0.2853178392226696,0,339.9497559070587,False,0
"{'CHUNK_SIZE': 425.0, 'CHUNK_OVERLAP': 48.0, 'RETRIEVER_K': 6.0, 'embedding_temperature': 0.24002565443515778, 'embedding_num_ctx': 1333.0, 'embedding_repeat_penalty': 1.2332494258880615, 'embedding_top_k': 77.0, 'chat_temperature': 0.9001951217651367, 'chat_num_ctx': 2982.0, 'chat_repeat_penalty': 1.3138667345046997, 'chat_top_k': 68.0, 'Database_type': 3.0}",0.25398764302841426,0.6723333333333333,0.7309058244732951,0.7847672954355284,0.17838242160137838,0.25398764302841426,0,346.37697076797485,False,0
"{'CHUNK_SIZE': 932.0, 'CHUNK_OVERLAP': 88.0, 'RETRIEVER_K': 4.0, 'embedding_temperature': 0.5552391409873962, 'embedding_num_ctx': 1254.0, 'embedding_repeat_penalty': 1.1056280136108398, 'embedding_top_k': 28.0, 'chat_temperature': 0.2778000235557556, 'chat_num_ctx': 4491.0, 'chat_repeat_penalty': 1.0417910814285278, 'chat_top_k': 51.0, 'Database_type': 1.0}",0.26607451508530766,0.6083333333333333,0.6454916854746279,0.7719936497752267,0.18663198209183046,0.26607451508530766,0,341.6606695652008,False,0
"{'CHUNK_SIZE': 840.0, 'CHUNK_OVERLAP': 38.0, 'RETRIEVER_K': 2.0, 'embedding_temperature': 0.6862077116966248, 'embedding_num_ctx': 1005.0, 'embedding_repeat_penalty': 0.9231724143028259, 'embedding_top_k': 64.0, 'chat_temperature': 0.755132257938385, 'chat_num_ctx': 3711.0, 'chat_repeat_penalty': 1.489173173904419, 'chat_top_k': 62.0, 'Database_type': 1.0}",0.24650144522274955,0.495,0.5277324383928644,0.7525663969606087,0.17910097770669647,0.24650144522274955,0,330.8672523498535,False,0
"{'CHUNK_SIZE': 766.0, 'CHUNK_OVERLAP': 50.0, 'RETRIEVER_K': 9.0, 'embedding_temperature': 0.13224978032262977, 'embedding_num_ctx': 1944.0, 'embedding_repeat_penalty': 1.2461076977362984, 'embedding_top_k': 90.0, 'chat_temperature': 0.8337937343074968, 'chat_num_ctx': 7495.0, 'chat_repeat_penalty': 1.1192864494049037, 'chat_top_k': 16.0, 'Database_type': 2.0}",0.2858739094580912,0.9716666666666667,0.9789144960389697,0.9643817131219672,0.1924448221122246,0.2858739094580912,0,316.0070445537567,False,0
"{'CHUNK_SIZE': 712.0, 'CHUNK_OVERLAP': 77.0, 'RETRIEVER_K': 6.0, 'embedding_temperature': 0.30862194299697876, 'embedding_num_ctx': 862.0, 'embedding_repeat_penalty': 0.9408298486883429, 'embedding_top_k': 84.0, 'chat_temperature': 0.32177345552180936, 'chat_num_ctx': 7529.0, 'chat_repeat_penalty': 1.0583159241609932, 'chat_top_k': 16.0, 'Database_type': 2.0}",0.2933498238066255,0.9716666666666667,0.9790485368673204,0.9707304653367009,0.2076677856241833,0.2933498238066255,0,287.7742221355438,False,0
"{'CHUNK_SIZE': 763.0, 'CHUNK_OVERLAP': 90.0, 'RETRIEVER_K': 6.0, 'embedding_temperature': 0.32011726657640555, 'embedding_num_ctx': 974.0, 'embedding_repeat_penalty': 0.9649146266338766, 'embedding_top_k': 92.0, 'chat_temperature': 0.3440348279976685, 'chat_num_ctx': 7529.0, 'chat_repeat_penalty': 1.0851155782061033, 'chat_top_k': 16.0, 'Database_type': 2.0}",0.2964244045530578,0.9716666666666667,0.9790485368673204,0.9707304653367009,0.21142056671228257,0.2964244045530578,0,276.3327648639679,False,0
"{'CHUNK_SIZE': 788.0, 'CHUNK_OVERLAP': 91.0, 'RETRIEVER_K': 6.0, 'embedding_temperature': 0.25872707682412355, 'embedding_num_ctx': 978.0, 'embedding_repeat_penalty': 0.9419816365759999, 'embedding_top_k': 86.0, 'chat_temperature': 0.46274351054444024, 'chat_num_ctx': 7470.0, 'chat_repeat_penalty': 1.120508231449156, 'chat_top_k': 16.0, 'Database_type': 2.0}",0.28827630971507534,0.9716666666666667,0.9790485368673204,0.9707304653367009,0.2016342262542513,0.28827630971507534,0,291.278781414032,False,0
"{'CHUNK_SIZE': 693.0, 'CHUNK_OVERLAP': 127.0, 'RETRIEVER_K': 6.0, 'embedding_temperature': 0.34059623499042957, 'embedding_num_ctx': 1558.0, 'embedding_repeat_penalty': 1.003604410563906, 'embedding_top_k': 76.0, 'chat_temperature': 0.30912703028102795, 'chat_num_ctx': 7693.0, 'chat_repeat_penalty': 1.0142113616042723, 'chat_top_k': 16.0, 'Database_type': 2.0}",0.2933206581368179,0.9716666666666667,0.9790485368673204,0.9707304653367009,0.20765561023859969,0.2933206581368179,0,301.00027680397034,False,0
"{'CHUNK_SIZE': 997.0, 'CHUNK_OVERLAP': 97.0, 'RETRIEVER_K': 6.0, 'embedding_temperature': 0.4011007142265171, 'embedding_num_ctx': 1164.0, 'embedding_repeat_penalty': 0.9956200408413697, 'embedding_top_k': 98.0, 'chat_temperature': 0.30284511242194123, 'chat_num_ctx': 7556.0, 'chat_repeat_penalty': 1.085711760804621, 'chat_top_k': 16.0, 'Database_type': 2.0}",0.29380442947298696,0.9716666666666667,0.9790485368673204,0.9707304653367009,0.20818185897871516,0.29380442947298696,0,286.2035357952118,False,0
"{'CHUNK_SIZE': 1022.0, 'CHUNK_OVERLAP': 83.0, 'RETRIEVER_K': 6.0, 'embedding_temperature': 0.33612356692275336, 'embedding_num_ctx': 1019.0, 'embedding_repeat_penalty': 0.9832386648574816, 'embedding_top_k': 90.0, 'chat_temperature': 0.2570572467254839, 'chat_num_ctx': 5015.0, 'chat_repeat_penalty': 1.1313118878555268, 'chat_top_k': 16.0, 'Database_type': 2.0}",0.2978164999056772,0.9716666666666667,0.9790485368673204,0.9707304653367009,0.21140986870323722,0.2978164999056772,0,281.8679714202881,False,0
