params,mrr,ndcg,context_similarity,total_time,total_tokens,timed_out,stage,global_iteration,timestamp,lexical_ac,answer_precision,answer_f1,avg_similarity
"CHUNK_SIZE                   765.000000
CHUNK_OVERLAP                111.000000
embedding_temperature          0.096966
embedding_num_ctx           1628.000000
embedding_repeat_penalty       1.117196
embedding_top_k               80.000000
Database_type                  1.000000
Name: 0, dtype: float64",0.5273134920634924,0.6555745444883864,0.7896733076965491,102.46718192100525,3114,False,1,1,102.51885914802551,,,,
"CHUNK_SIZE                  495.000000
CHUNK_OVERLAP                39.000000
embedding_temperature         0.618161
embedding_num_ctx           832.000000
embedding_repeat_penalty      1.254576
embedding_top_k              54.000000
Database_type                 2.000000
Name: 0, dtype: float64",0.985,0.977285325210361,0.9561736837061331,102.53604745864868,3114,False,1,2,205.10882997512817,,,,
"{'RETRIEVER_K': 7.0, 'chat_temperature': 0.8196935653686523, 'chat_num_ctx': 1257.0, 'chat_repeat_penalty': 1.3358089923858643, 'chat_top_k': 43.0}",,,0.9593644859023701,145.281498670578,309819,False,2,3,350.48934507369995,0.2620703085255665,0.17736453766515273,0.2620703085255665,0.0
"{'RETRIEVER_K': 5.0, 'chat_temperature': 0.2556237280368805, 'chat_num_ctx': 7994.0, 'chat_repeat_penalty': 0.9628822207450867, 'chat_top_k': 94.0}",,,0.9617180354976153,281.1995885372162,251513,False,2,4,631.7891516685486,0.28036356216052033,0.18931175979063958,0.28036356216052033,0.0
"{'RETRIEVER_K': 3.0, 'chat_temperature': 0.6274969577789307, 'chat_num_ctx': 4287.0, 'chat_repeat_penalty': 1.4405275583267212, 'chat_top_k': 71.0}",,,0.9687353474761042,242.7418806552887,171378,False,2,5,874.6318345069885,0.2649734147975097,0.1830712406497241,0.2649734147975097,0.0
"{'RETRIEVER_K': 10.0, 'chat_temperature': 0.18756642937660217, 'chat_num_ctx': 5205.0, 'chat_repeat_penalty': 1.0629417896270752, 'chat_top_k': 21.0}",,,0.9561736837061331,329.3733298778534,445539,False,2,6,1204.1086230278015,0.29165686020183157,0.1964864401392068,0.29165686020183157,0.0
"{'RETRIEVER_K': 9.0, 'chat_temperature': 0.5999187231063843, 'chat_num_ctx': 6793.0, 'chat_repeat_penalty': 1.1786919832229614, 'chat_top_k': 26.0}",,,0.9565800529241788,326.65159034729004,407678,False,2,7,1530.8603332042694,0.28209371180662685,0.19227345081861372,0.28209371180662685,0.0
"{'RETRIEVER_K': 9.0, 'chat_temperature': 0.19947988362942826, 'chat_num_ctx': 5117.0, 'chat_repeat_penalty': 1.11393390494006, 'chat_top_k': 47.0}",,,0.9565800529241788,321.95338201522827,406955,False,2,8,1853.9199368953705,0.29077888654811557,0.19686796418804797,0.29077888654811557,0.0
"{'RETRIEVER_K': 10.0, 'chat_temperature': 0.10280258461712366, 'chat_num_ctx': 6663.0, 'chat_repeat_penalty': 1.3111854468674695, 'chat_top_k': 20.0}",,,0.9561736837061331,287.4469892978668,439132,False,2,9,2142.3859758377075,0.2924395085071623,0.1993437353180243,0.2924395085071623,0.0
"{'RETRIEVER_K': 9.0, 'chat_temperature': 0.035680606017972766, 'chat_num_ctx': 6004.0, 'chat_repeat_penalty': 1.1590289284976194, 'chat_top_k': 21.0}",,,0.9565800529241788,320.8548846244812,406902,False,2,10,2464.260570526123,0.2828763287697418,0.1912034501657921,0.2828763287697418,0.0
"{'RETRIEVER_K': 10.0, 'chat_temperature': 0.20437398538849016, 'chat_num_ctx': 4088.0, 'chat_repeat_penalty': 1.456554053385309, 'chat_top_k': 49.0}",,,0.9561736837061331,171.59781122207642,421726,False,2,11,2636.888995409012,0.27163020591879244,0.18308852504899525,0.27163020591879244,0.0
