params,mrr,ndcg,context_similarity,total_time,total_tokens,timed_out,stage,global_iteration,timestamp,lexical_ac,answer_precision,answer_f1,avg_similarity
"CHUNK_SIZE                   462.000000
CHUNK_OVERLAP                 38.000000
embedding_temperature          0.681179
embedding_num_ctx           1147.000000
embedding_repeat_penalty       1.144989
embedding_top_k               15.000000
Database_type                  1.000000
Name: 0, dtype: float64",0.6742857142857142,0.7370189765755686,0.801173339049225,110.86428713798523,3114,False,1,1,110.91577410697937,,,,
"CHUNK_SIZE                   981.000000
CHUNK_OVERLAP                110.000000
embedding_temperature          0.019667
embedding_num_ctx           2021.000000
embedding_repeat_penalty       1.390998
embedding_top_k               96.000000
Database_type                  2.000000
Name: 0, dtype: float64",0.985,0.9771181705434024,0.9557987279339332,92.27134490013123,3114,False,1,2,203.24000120162964,,,,
"{'RETRIEVER_K': 6, 'chat_num_ctx': 4352, 'chat_repeat_penalty': 1.2, 'chat_temperature': 0.5, 'chat_top_k': 55}",,,0.959160793104398,296.485556602478,291350,False,2,3,499.8310511112213,0.2979404771708437,0.2109799387701665,0.2979404771708437,0.0
"{'RETRIEVER_K': 1, 'chat_num_ctx': 8093, 'chat_repeat_penalty': 1.4881489198051496, 'chat_temperature': 0.14316171793303223, 'chat_top_k': 97}",,,0.9749097344818684,102.85963249206543,72150,False,2,4,602.7894685268402,0.2598132646036058,0.18125352865834338,0.2598132646036058,0.0
"{'RETRIEVER_K': 1, 'chat_num_ctx': 1077, 'chat_repeat_penalty': 1.2959568442234626, 'chat_temperature': 0.08540512326000149, 'chat_top_k': 98}",,,0.9749097344818684,210.76447653770447,90464,False,2,5,813.6526029109955,0.28039616517048255,0.19344637880399468,0.28039616517048255,0.0
"{'RETRIEVER_K': 8, 'chat_num_ctx': 8123, 'chat_repeat_penalty': 0.9823314047394102, 'chat_temperature': 0.8620888647702851, 'chat_top_k': 13}",,,0.9574510235369857,328.16166162490845,370918,False,2,6,1141.913456439972,0.28519709942067967,0.19271644126887277,0.28519709942067967,0.0
"{'RETRIEVER_K': 5, 'chat_num_ctx': 1060, 'chat_repeat_penalty': 1.4368281637754057, 'chat_temperature': 0.8690132920018943, 'chat_top_k': 10}",,,0.9610013168654068,288.48243713378906,256872,False,2,7,1430.4941999912262,0.24159510543173485,0.17112655542354027,0.24159510543173485,0.0
"{'RETRIEVER_K': 5, 'chat_num_ctx': 4576, 'chat_repeat_penalty': 1.1492467450297006, 'chat_temperature': 0.43668079528925685, 'chat_top_k': 61}",,,0.9610013168654068,281.89412021636963,251721,False,2,8,1712.9928574562073,0.2883024105574528,0.1970379278630201,0.2883024105574528,0.0
"{'RETRIEVER_K': 10, 'chat_num_ctx': 6492, 'chat_repeat_penalty': 1.2171604079451979, 'chat_temperature': 0.4756147318773353, 'chat_top_k': 71}",,,0.9557987279339332,331.6477620601654,445622,False,2,9,2045.596652507782,0.28727507178289197,0.19491195271055264,0.28727507178289197,0.0
"{'RETRIEVER_K': 3, 'chat_num_ctx': 2203, 'chat_repeat_penalty': 1.2095805933752093, 'chat_temperature': 0.6473416750716431, 'chat_top_k': 25}",,,0.9683100860903167,262.1307337284088,174237,False,2,10,2308.3483679294586,0.2800517400407558,0.1916152885446209,0.2800517400407558,0.0
