params,mrr,ndcg,context_similarity,total_time,total_tokens,timed_out,stage,global_iteration,timestamp,lexical_ac,answer_precision,answer_f1,avg_similarity
"CHUNK_SIZE                   932.000000
CHUNK_OVERLAP                 71.000000
embedding_temperature          0.747687
embedding_num_ctx           1572.000000
embedding_repeat_penalty       1.495685
embedding_top_k               19.000000
Database_type                  1.000000
Name: 0, dtype: float64",0.5948015873015874,0.6872334560463902,0.7683119812141682,84.74756646156311,3114,False,1,1,84.79908609390259,,,,
"CHUNK_SIZE                   534.000000
CHUNK_OVERLAP                 83.000000
embedding_temperature          0.261759
embedding_num_ctx           1101.000000
embedding_repeat_penalty       1.147559
embedding_top_k               74.000000
Database_type                  3.000000
Name: 0, dtype: float64",0.6567023809523812,0.7567842886870163,0.8293833679363538,105.36826348304749,3114,False,1,2,190.21971678733826,,,,
"{'RETRIEVER_K': 9.0, 'chat_temperature': 0.40730157494544983, 'chat_num_ctx': 6254.0, 'chat_repeat_penalty': 1.3141207695007324, 'chat_top_k': 99.0}",,,0.8285563139777525,195.1522741317749,653219,False,2,3,385.47173404693604,0.28934411362180074,0.20300172537967684,0.28934411362180074,0.0
"{'RETRIEVER_K': 5.0, 'chat_temperature': 0.8270456194877625, 'chat_num_ctx': 3405.0, 'chat_repeat_penalty': 1.0595813989639282, 'chat_top_k': 42.0}",,,0.8252515148796421,307.94520831108093,389498,False,2,4,693.5170726776123,0.2540269030928084,0.17897977796392106,0.2540269030928084,0.0
"{'RETRIEVER_K': 3.0, 'chat_temperature': 0.1361256241798401, 'chat_num_ctx': 6810.0, 'chat_repeat_penalty': 1.4270689487457275, 'chat_top_k': 22.0}",,,0.822937473011682,125.69430327415466,221145,False,2,5,819.3115351200104,0.2549247516875545,0.1776067033897384,0.2549247516875545,0.0
"{'RETRIEVER_K': 8.0, 'chat_temperature': 0.5982137322425842, 'chat_num_ctx': 960.0, 'chat_repeat_penalty': 0.9475203156471252, 'chat_top_k': 57.0}",,,0.8275241060272504,860.208517074585,685863,False,2,6,1679.6228477954865,0.2341277394551946,0.1663566682484014,0.2341277394551946,0.0
"{'RETRIEVER_K': 7.0, 'chat_temperature': 0.06147071719169617, 'chat_num_ctx': 3352.0, 'chat_repeat_penalty': 1.0453532934188843, 'chat_top_k': 77.0}",,,0.8271037347971828,298.185729265213,532998,False,2,7,1977.9134275913239,0.26777471525217544,0.1877085732389979,0.26777471525217544,0.0
"CHUNK_SIZE                   381.000000
CHUNK_OVERLAP                 33.000000
embedding_temperature          0.769729
embedding_num_ctx           1964.000000
embedding_repeat_penalty       0.930948
embedding_top_k               92.000000
Database_type                  2.000000
Name: 0, dtype: float64",0.9616666666666667,0.9751253363914517,0.9626506396782563,121.37963485717773,3114,False,1,8,2099.3473908901215,,,,
"{'RETRIEVER_K': 9.0, 'chat_temperature': 0.40730157494544983, 'chat_num_ctx': 6254.0, 'chat_repeat_penalty': 1.3141207695007324, 'chat_top_k': 99.0}",,,0.9639185893112682,168.24694681167603,378152,False,2,9,2267.694902896881,0.30192796966413515,0.20518385467064323,0.30192796966413515,0.0
"{'RETRIEVER_K': 7.0, 'chat_temperature': 0.06147071719169617, 'chat_num_ctx': 3352.0, 'chat_repeat_penalty': 1.0453532934188843, 'chat_top_k': 77.0}",,,0.9659422589793866,296.49522256851196,324191,False,2,10,2564.289869070053,0.2825707652564504,0.1904539550419735,0.2825707652564504,0.0
"{'RETRIEVER_K': 8.0, 'chat_temperature': 0.07823873413233107, 'chat_num_ctx': 7864.0, 'chat_repeat_penalty': 1.069308363024015, 'chat_top_k': 93.0}",,,0.9648620756873689,311.27892208099365,362955,False,2,11,2876.581427335739,0.28598653060433826,0.19330083302677675,0.28598653060433826,0.0
"{'RETRIEVER_K': 5.0, 'chat_temperature': 0.14333183052148582, 'chat_num_ctx': 5869.0, 'chat_repeat_penalty': 1.3644054426281569, 'chat_top_k': 61.0}",,,0.9696871417658667,177.6130485534668,232812,False,2,12,3054.298009157181,0.28706046808721675,0.19574931360809608,0.28706046808721675,0.0
"{'RETRIEVER_K': 6.0, 'chat_temperature': 0.30261227633985094, 'chat_num_ctx': 7672.0, 'chat_repeat_penalty': 1.0954434375238717, 'chat_top_k': 11.0}",,,0.9679823677286502,293.31627321243286,287896,False,2,13,3347.7134568691254,0.2892507547414649,0.20019764983875704,0.2892507547414649,0.0
"{'RETRIEVER_K': 9.0, 'chat_temperature': 0.40793496982673655, 'chat_num_ctx': 6185.0, 'chat_repeat_penalty': 1.422995516810935, 'chat_top_k': 99.0}",,,0.9639185893112682,278.44748187065125,394937,False,2,14,3627.2080969810486,0.2913207395644073,0.20041756212738096,0.2913207395644073,0.0
