params,mrr,ndcg,context_similarity,total_time,total_tokens,timed_out,stage,global_iteration,timestamp,lexical_ac,answer_precision,answer_f1,avg_similarity
"CHUNK_SIZE                   354.000000
CHUNK_OVERLAP                 45.000000
embedding_temperature          0.720229
embedding_num_ctx           2025.000000
embedding_repeat_penalty       1.190002
embedding_top_k               57.000000
Database_type                  2.000000
Name: 0, dtype: float64",0.975,0.9785995874122685,0.9606188144582165,111.55141401290894,3114,False,1,1,111.60558009147644,,,,
"CHUNK_SIZE                  736.000000
CHUNK_OVERLAP               102.000000
embedding_temperature         0.145931
embedding_num_ctx           838.000000
embedding_repeat_penalty      1.396692
embedding_top_k              11.000000
Database_type                 1.000000
Name: 0, dtype: float64",0.7095277777777779,0.7627066335751358,0.8170591281324454,81.47116899490356,3114,False,1,2,193.12936639785767,,,,
"{'RETRIEVER_K': 2.0, 'chat_temperature': 0.1395922154188156, 'chat_num_ctx': 6043.0, 'chat_repeat_penalty': 1.4908500909805298, 'chat_top_k': 54.0}",,,0.9749937325714477,108.1366720199585,106181,False,2,3,301.3737201690674,0.27345617982804293,0.19288843983001516,0.27345617982804293,0.0
"{'RETRIEVER_K': 6.0, 'chat_temperature': 0.7731658816337585, 'chat_num_ctx': 3367.0, 'chat_repeat_penalty': 1.0090452432632446, 'chat_top_k': 84.0}",,,0.9669063155009116,294.0998227596283,280399,False,2,4,595.5769176483154,0.28860375399698085,0.2030269197780145,0.28860375399698085,0.0
"{'RETRIEVER_K': 8.0, 'chat_temperature': 0.4024064242839813, 'chat_num_ctx': 8075.0, 'chat_repeat_penalty': 1.2785310745239258, 'chat_top_k': 57.0}",,,0.9641030711547773,142.15678572654724,327933,False,2,5,737.8338270187378,0.3107853806647089,0.21196043172997003,0.3107853806647089,0.0
"{'RETRIEVER_K': 5.0, 'chat_temperature': 0.5052257180213928, 'chat_num_ctx': 1332.0, 'chat_repeat_penalty': 1.169820785522461, 'chat_top_k': 27.0}",,,0.9684225928809131,258.6446108818054,243144,False,2,6,996.5850629806519,0.27591347598569604,0.1928348414052368,0.27591347598569604,0.0
"{'RETRIEVER_K': 4.0, 'chat_temperature': 0.25556454062461853, 'chat_num_ctx': 3927.0, 'chat_repeat_penalty': 1.0956283807754517, 'chat_top_k': 11.0}",,,0.9701623619146029,262.7922840118408,204900,False,2,7,1259.4798679351807,0.2883236756331746,0.19831309740673767,0.2883236756331746,0.0
"CHUNK_SIZE                   948.000000
CHUNK_OVERLAP                 75.000000
embedding_temperature          0.912288
embedding_num_ctx           1343.000000
embedding_repeat_penalty       1.202301
embedding_top_k               40.000000
Database_type                  3.000000
Name: 0, dtype: float64",0.6365476190476191,0.717032890826801,0.7696351251768507,86.12660646438599,3114,False,1,8,1345.6626257896423,,,,
"CHUNK_SIZE                  563.000000
CHUNK_OVERLAP               119.000000
embedding_temperature         0.455824
embedding_num_ctx           896.000000
embedding_repeat_penalty      0.995330
embedding_top_k              85.000000
Database_type                 2.000000
Name: 0, dtype: float64",0.975,0.9785995874122685,0.9606188144582165,107.99702191352844,3114,False,1,9,1453.7137303352356,,,,
"{'RETRIEVER_K': 6.0, 'chat_temperature': 0.7731658816337585, 'chat_num_ctx': 3367.0, 'chat_repeat_penalty': 1.0090452432632446, 'chat_top_k': 84.0}",,,0.9669063155009116,293.80179619789124,280399,False,2,10,1747.6188220977783,0.28860375399698085,0.2030269197780145,0.28860375399698085,0.0
"{'RETRIEVER_K': 8.0, 'chat_temperature': 0.4024064242839813, 'chat_num_ctx': 8075.0, 'chat_repeat_penalty': 1.2785310745239258, 'chat_top_k': 57.0}",,,0.9641030711547773,141.8731198310852,327933,False,2,11,1889.593463897705,0.3107853806647089,0.21196043172997003,0.3107853806647089,0.0
"{'RETRIEVER_K': 1.0, 'chat_temperature': 0.6985671583347474, 'chat_num_ctx': 3065.0, 'chat_repeat_penalty': 1.1112005230346065, 'chat_top_k': 29.0}",,,0.9749298313094634,232.34813690185547,92174,False,2,12,2123.096063375473,0.28903624169426345,0.20598136866626607,0.28903624169426345,0.0
"{'RETRIEVER_K': 5.0, 'chat_temperature': 0.7977950952306961, 'chat_num_ctx': 4515.0, 'chat_repeat_penalty': 1.2196873324419824, 'chat_top_k': 68.0}",,,0.9684225928809131,213.46297550201416,232786,False,2,13,2336.6601219177246,0.30544874264303623,0.20974454145953744,0.30544874264303623,0.0
"{'RETRIEVER_K': 6.0, 'chat_temperature': 0.11511058250054468, 'chat_num_ctx': 8088.0, 'chat_repeat_penalty': 1.038780479529873, 'chat_top_k': 98.0}",,,0.9669063155009116,280.07046365737915,278132,False,2,14,2616.832076072693,0.28722765483153595,0.1937836865285066,0.28722765483153595,0.0
"{'RETRIEVER_K': 8.0, 'chat_temperature': 0.2324825247454562, 'chat_num_ctx': 6349.0, 'chat_repeat_penalty': 1.2814769298372275, 'chat_top_k': 81.0}",,,0.9641030711547773,227.1958508491516,341100,False,2,15,2845.055619955063,0.29983967365118025,0.20386782175929632,0.29983967365118025,0.0
"CHUNK_SIZE                   526.000000
CHUNK_OVERLAP                 59.000000
embedding_temperature          0.119707
embedding_num_ctx           1098.000000
embedding_repeat_penalty       0.956928
embedding_top_k               77.000000
Database_type                  3.000000
Name: 0, dtype: float64",0.7216626984126984,0.7536853506536102,0.7977806652853933,102.23448944091797,3114,False,1,16,2947.3422610759735,,,,
