params,mrr,ndcg,context_similarity,total_time,total_tokens,timed_out,stage,global_iteration,timestamp,lexical_ac,answer_precision,answer_f1,avg_similarity
"CHUNK_SIZE                   354.000000
CHUNK_OVERLAP                 45.000000
embedding_temperature          0.720229
embedding_num_ctx           2025.000000
embedding_repeat_penalty       1.190002
embedding_top_k               57.000000
Database_type                  2.000000
Name: 0, dtype: float64",0.985,0.9773545132655552,0.9559950413584957,71.00042819976807,3114,False,1,1,71.05276441574097,,,,
"CHUNK_SIZE                  736.000000
CHUNK_OVERLAP               102.000000
embedding_temperature         0.145931
embedding_num_ctx           838.000000
embedding_repeat_penalty      1.396692
embedding_top_k              11.000000
Database_type                 1.000000
Name: 0, dtype: float64",0.7496230158730159,0.776112751281392,0.8218167599672879,51.48330116271973,3114,False,1,2,122.58718037605286,,,,
"{'RETRIEVER_K': 9.0, 'chat_temperature': 0.2135404646396637, 'chat_num_ctx': 7104.0, 'chat_repeat_penalty': 1.0475910902023315, 'chat_top_k': 48.0}",,,0.956664349934387,261.4185152053833,381867,False,2,3,384.10861802101135,0.2806561000142703,0.1874615713827722,0.2806561000142703,0.0
"{'RETRIEVER_K': 4.0, 'chat_temperature': 0.6289556622505188, 'chat_num_ctx': 1778.0, 'chat_repeat_penalty': 1.2341195344924927, 'chat_top_k': 83.0}",,,0.9623761597240703,263.3337490558624,188201,False,2,4,647.5409216880798,0.26963445815707493,0.1824450454207346,0.26963445815707493,0.0
"{'RETRIEVER_K': 2.0, 'chat_temperature': 0.4977213442325592, 'chat_num_ctx': 4455.0, 'chat_repeat_penalty': 1.160770058631897, 'chat_top_k': 64.0}",,,0.9736377145867517,217.96601819992065,110291,False,2,5,865.6040256023407,0.2776742049479944,0.19466906221442046,0.2776742049479944,0.0
"{'RETRIEVER_K': 7.0, 'chat_temperature': 0.9092255234718323, 'chat_num_ctx': 3960.0, 'chat_repeat_penalty': 1.4231430292129517, 'chat_top_k': 31.0}",,,0.9592797062030956,243.3340744972229,304125,False,2,6,1109.0378715991974,0.28175773654823233,0.18946017014680017,0.28175773654823233,0.0
"{'RETRIEVER_K': 7.0, 'chat_temperature': 0.3039345145225525, 'chat_num_ctx': 688.0, 'chat_repeat_penalty': 1.4661412239074707, 'chat_top_k': 19.0}",,,0.9592797062030956,205.85055017471313,302422,False,2,7,1314.987113237381,0.2580963524035102,0.18247384432828137,0.2580963524035102,0.0
"{'RETRIEVER_K': 3.0, 'chat_temperature': 0.9690827540735804, 'chat_num_ctx': 7067.0, 'chat_repeat_penalty': 1.3628188006684994, 'chat_top_k': 36.0}",,,0.9683100860903167,228.0708408355713,149146,False,2,8,1544.0687789916992,0.2912849451713946,0.2055719288135351,0.2912849451713946,0.0
"{'RETRIEVER_K': 3.0, 'chat_temperature': 0.8829425440275129, 'chat_num_ctx': 6978.0, 'chat_repeat_penalty': 1.3622791826192409, 'chat_top_k': 33.0}",,,0.9683100860903167,223.08537936210632,149354,False,2,9,1768.253202676773,0.2787977760415157,0.19359653301200475,0.2787977760415157,0.0
"{'RETRIEVER_K': 3.0, 'chat_temperature': 0.9978643299066092, 'chat_num_ctx': 869.0, 'chat_repeat_penalty': 1.3526528830961009, 'chat_top_k': 36.0}",,,0.9683100860903167,205.79100561141968,148605,False,2,10,1975.0770659446716,0.26105560150071894,0.18359617670260422,0.26105560150071894,0.0
"{'RETRIEVER_K': 4.0, 'chat_temperature': 0.9837811213239417, 'chat_num_ctx': 7009.0, 'chat_repeat_penalty': 1.3439891140162132, 'chat_top_k': 38.0}",,,0.9623761597240703,226.9216604232788,187940,False,2,11,2203.1081371307373,0.28673771138878057,0.20087720588597957,0.28673771138878057,0.0
